Timestamp,Detected,Quantity
1:39,Aonyx cinerea,2
17:26,Suricata suricatta,2
2:17,Eudyptula minor,5
8:21,Bradypus tridactylus,5
13:27,Canis mesomelas,5
21:43,Macaca mulatta,4
22:57,Marmota caligata,2
3:53,Myiarchus tuberculifer,1
8:08,Lophoaetus occipitalis,1
17:31,Laniarius ferrugineus,3
22:43,Lamprotornis nitens,2
4:59,Acinynox jubatus,1
1:37,Myiarchus tuberculifer,1
2:40,Coluber constrictor foxii,3
15:35,Acrobates pygmaeus,2
17:31,Corvus brachyrhynchos,1
11:30,Himantopus himantopus,1
2:40,Felis concolor,2
3:28,Eurocephalus anguitimens,1
15:05,Notechis semmiannulatus,3
11:00,Dasyurus maculatus,1
2:35,Spermophilus richardsonii,5
21:01,Phoenicopterus ruber,2
20:32,Ratufa indica,1
22:41,Pseudalopex gymnocercus,4
3:01,Cygnus atratus,1
8:12,Parus atricapillus,5
10:17,Plectopterus gambensis,2
12:09,Spermophilus tridecemlineatus,4
4:54,Alcelaphus buselaphus caama,5
